size,calculation time,total operations
100, 0.004, 1000000
100, 0.004, 1000000
100, 0.004, 1000000
100, 0.004, 1000000
100, 0.004, 1000000
200, 0.031, 8000000
200, 0.03, 8000000
200, 0.03, 8000000
200, 0.032, 8000000
200, 0.036, 8000000
500, 0.524, 125000000
500, 0.435, 125000000
500, 0.441, 125000000
500, 0.477, 125000000
500, 0.474, 125000000
1000, 6.791, 1000000000
1000, 7.756, 1000000000
1000, 7.254, 1000000000
1000, 7.227, 1000000000
1000, 7.234, 1000000000
2000, 62.584, -589934592
2000, 62.696, -589934592
2000, 62.493, -589934592
2000, 62.507, -589934592
2000, 62.44, -589934592
